CODE,NAME,AUTHORITY,TYPE,PROJECTION,ELLIPSOID,FALSE_EASTING,FALSE_NORTHING,CENTRAL_MERIDIAN,LATITUDE_OF_ORIGIN,LATITUDE_OF_CENTER,STANDARD_PAR_1,STANDARD_PAR_2,SCALE_FACTORLONGITUDE_OF_CENTER,HEIGHT_PERSP_CENTER,INV_F,A
CSY_1,GeoStationary Satellite,,projection,PRJGS,user,0,0,0,,,,,1,35785831,298.257224,6378137
CSY_2,WGS84,,latlon,,WE,,,,,,,,,,,
