DCODE,NAME,AREA,WKT,AUTHORITY,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE,SOURCE,DESCRIPTION
DOHI-M,Old hawaiian (in), Mean,,,intl,201,25,-228,20,-346,20,17,24,-164,-153,0,0,0,0,default,
DOHI-A,Old hawaiian (in), Hawaii,,,intl,229,25,-222,25,-348,25,17,22,-158,-153,0,0,0,0,default,
DOHI-B,Old hawaiian (in), Kauai,,,intl,185,20,-233,20,-337,20,20,24,-161,-158,0,0,0,0,default,
DOHI-C,Old hawaiian (in), Maui,,,intl,205,25,-233,25,-355,25,19,23,-158,-154,0,0,0,0,default,
DOHI-D,Old hawaiian (in), Oahu,,,intl,198,10,-226,6,-347,6,20,23,-160,-156,0,0,0,0,default,
DPHA,Ayabelle lighthouse, Djibouti,,,clrk80,-79,25,-129,25,145,25,5,20,36,49,0,0,0,0,default,
DPIT,Pitcairn astro 1967,,,,intl,185,25,165,25,42,25,-27,-21,-134,-119,0,0,0,0,default,
DPLN,Pico de las nieves, Canary Is.,,,intl,-307,25,-92,25,127,25,26,31,-20,-12,0,0,0,0,default,
DPOS,Porto santo 1936, Madeira Is.,,,intl,-499,25,-249,25,314,25,31,35,-18,-15,0,0,0,0,default,
DPRP-A,Prov. s american 1956, Bolivia,,,intl,-270,5,188,11,-388,14,-28,-4,-75,-51,0,0,0,0,default,
DPRP-B,Prov. s american 1956, N Chile,,,intl,-270,25,183,25,-390,25,-45,-12,-83,-60,0,0,0,0,default,
DPRP-C,Prov. s american 1956, S Chile,,,intl,-305,20,243,20,-442,20,-64,-20,-83,-60,0,0,0,0,default,
DPRP-D,Prov. s american 1956, Colombia,,,intl,-282,15,169,15,-371,15,-10,16,-85,-61,0,0,0,0,default,
DPRP-E,Prov. s american 1956, Ecuador,,,intl,-278,3,171,5,-367,3,-11,7,-85,-70,0,0,0,0,default,
DPRP-F,Prov. s american 1956, Guyana,,,intl,-298,6,159,14,-369,5,-4,14,-67,-51,0,0,0,0,default,
DPRP-G,Prov. s american 1956, Peru,,,intl,-279,6,175,8,-379,12,-24,5,-87,-63,0,0,0,0,default,
DPRP-H,Prov. s american 1956, Venezuela,,,intl,-295,9,173,14,-371,15,-5,18,-79,-54,0,0,0,0,default,
DPRP-M,Prov. s american 1956, Mean,,,intl,-288,17,175,27,-376,27,-64,18,-87,-51,0,0,0,0,default,
DPTB,Point 58, Burkina Faso & Niger,,,clrk80,-106,25,-129,25,165,25,0,10,-15,25,0,0,0,0,default,
DPTN,Point noire 1948, Congo,,,clrk80,-148,25,51,25,-291,25,-11,10,5,25,0,0,0,0,default,
DPUK,Pulkovo 1942, Russia,,,krass,28,-1,-130,-1,-95,-1,36,89,-180,180,0,0,0,0,default,
DPUR,Puerto rico & virgin is.,,,,clrk66,11,3,72,3,-101,3,16,20,-69,-63,0,0,0,0,default,
DQAT,Qatar national,,,,intl,-128,20,-283,20,22,20,19,32,45,57,0,0,0,0,default,
DQUO,Qornoq, South Greenland,,,intl,164,25,138,25,-189,32,57,85,-77,-7,0,0,0,0,default,
DREU,Reunion, Mascarene Is.,,,intl,94,25,-948,25,-1262,25,-27,-12,47,65,0,0,0,0,default,
DUTCHRD,Rijks driehoeks meeting,Netherlands,,,bessel,565.2369,0,50.0087,0,465.658,0,0,0,0,0,-0.398957,0.343988,-1.8774,0,default,
DSAE,Santo (dos) 1965,,,,intl,170,25,42,25,84,25,-20,-11,163,172,0,0,,0,default,
DSAO,Sao braz, Santa Maria Is.,,,intl,-203,25,141,25,53,25,35,39,-27,-23,0,0,0,0,default,
DSAP,Sapper hill 1943, E Falkland Is,,,intl,-355,1,21,1,72,1,-54,-50,-61,-56,0,0,0,0,default,
DSAN-M,South american 1969, Mean,,,GRS67,-57,15,1,6,-41,9,-65,-50,-90,-25,0,0,0,0,default,
DSAN-A,South american 1969, Argentina,,,GRS67,-62,5,-1,5,-37,5,-62,-20,-76,-47,0,0,0,0,default,
DSAN-B,South american 1969, Bolivia,,,GRS67,-61,15,2,15,-48,15,-28,-4,-75,-51,0,0,0,0,default,
DSAN-C,South american 1969, Brazil,,,GRS67,-60,3,-2,5,-41,5,-39,9,-80,-29,0,0,0,0,default,
DSAN-D,South american 1969, Chile,,,GRS67,-75,15,-1,8,-44,11,-64,-12,-83,-60,0,0,0,0,default,
DSAN-E,South american 1969, Colombia,,,GRS67,-44,6,6,6,-36,5,-10,16,-85,-61,0,0,0,0,default,
DSAN-F,South american 1969, Ecuador,,,GRS67,-48,3,3,3,-44,3,-11,7,-85,-70,0,0,0,0,default,
DSAN-G,South american 1969, Guyana,,,GRS67,-53,9,3,5,-47,5,-4,14,-67,-51,0,0,0,0,default,
DSAN-H,South american 1969, Paraguay,,,GRS67,-61,15,2,15,-33,15,-33,-14,-69,-49,0,0,0,0,default,
DSAN-I,South american 1969, Peru,,,GRS67,-58,5,0,5,-44,5,-24,5,-87,-63,0,0,0,0,default,
DSAN-J,South american 1969, Baltra,,,GRS67,-47,25,26,25,-42,25,-2,1,-92,-89,0,0,0,0,default,
DSAN-K,South american 1969, Trinidad,,,GRS67,-45,25,12,25,-33,25,4,17,-68,-55,0,0,0,0,default,
DSAN-L,South american 1969, Venezuela,,,GRS67,-45,3,8,6,-33,3,-5,18,-79,-54,0,0,0,0,default,
DSCK,Schwarzeck, Namibia,,,ELLBN,616,20,97,20,-251,20,-35,-11,5,31,0,0,0,0,default,
DSHB,Astro dos 71/4, St. Helena Is.,,,intl,-320,25,550,25,-494,25,-18,-14,-7,-4,0,0,0,0,default,
DSOA,South asia, Singapore,,,fschr60m,7,25,-10,25,-26,25,0,3,102,106,0,0,0,0,default,
DSPK-A,S-42 (pulkovo 1942), Hungary,,,krass,28,2,-121,2,-77,2,40,54,11,29,0,0,0,0,default,
DSPK-B,S-42 (pulkovo 1942), Poland,,,krass,23,4,-124,2,-82,4,43,60,8,30,0,0,0,0,default,
DSPK-C,S-42 (pk42) former czechoslov.,,,,krass,26,3,-121,3,-78,2,42,57,6,28,0,0,0,0,default,
DSPK-D,S-42 (pulkovo 1942), Latvia,,,krass,24,2,-124,2,-82,2,50,64,15,34,0,0,0,0,default,
DSPK-E,S-42 (pk 1942), Kazakhstan,,,krass,15,25,-130,25,-84,25,35,62,41,93,0,0,0,0,default,
DSPK-F,S-42 (pulkovo 1942), Albania,,,krass,24,3,-130,3,-92,3,34,48,14,26,0,0,0,0,default,
DSPK-G,S-42 (pulkovo 1942), Romania,,,krass,28,3,-121,5,-77,3,38,54,15,35,0,0,0,0,default,
DSRL,Sierra leone 1960,,,,clrk80,-88,15,4,15,101,15,1,16,-19,-4,0,0,0,0,default,
DTAN,Tananarive observatory 1925,,,,intl,-189,-1,-242,-1,-91,-1,-34,-8,40,53,0,0,0,0,default,
DTDC,Tristan astro 1968,,,,intl,-632,25,438,25,-609,25,-39,-36,-14,-11,0,0,0,0,default,
DTIL,Timbalai 1948, Brunei & E Malay,,,evrstSS,-679,10,669,10,-48,12,-5,15,101,125,0,0,0,0,default,
DTOY-A,Tokyo, Japan,,,bessel,-148,8,507,5,685,8,19,51,119,156,0,0,0,0,default,
DTOY-B,Tokyo, South Korea,,,bessel,-146,8,507,5,687,8,27,45,120,139,0,0,0,0,default,
DTOY-B1,Tokyo, South Korea,,,bessel,-147,2,506,2,687,2,27,45,120,139,0,0,0,0,default,
DTOY-C,Tokyo, Okinawa,,,bessel,-158,20,507,5,676,20,19,31,119,134,0,0,0,0,default,
DTOY-M,Tokyo, Mean,,,bessel,-148,20,507,5,685,20,23,53,120,155,0,0,0,0,default,
DTRN,Astro tern island (frig) 1961,,,,intl,114,25,-116,25,-333,25,22,26,-168,-164,0,0,0,0,default,
DVOI,Voirol 1874, Algeria,,,clrk80,-73,-1,-247,-1,227,-1,13,43,-15,18,0,0,0,0,default,
