ILWIS_NAME,AREA,CODE
Potsdam (Rauenburg),,D
Provisional South American 1956,Bolivia,DPRP-A
Provisional South American 1956,Chile North,DPRP-B
Provisional South American 1956,Chile South,DPRP-C
Provisional South American 1956,Colombia,DPRP-D
Provisional South American 1956,Ecuador,DPRP-E
Provisional South American 1956,Guyana,DPRP-F
Provisional South American 1956,Mean,DPRP-M
Provisional South American 1956,Peru,DPRP-G
Provisional South American 1956,Venezuela,DPRP-H
Provisional South Chilean 1963,,D
Pulkovo 1942,,D
Qatar National,,D
Qornoq,,D
RT90,,D
Reunion,,D
Rijks Driehoeksmeting,,DUTCHRD
Rome 1940,,D
S-42 (Pulkovo 1942),Albania,D
S-42 (Pulkovo 1942),Czechoslovakia,D
S-42 (Pulkovo 1942),Hungary,D
S-42 (Pulkovo 1942),Kazachstan,D
S-42 (Pulkovo 1942),Latvia,D
S-42 (Pulkovo 1942),Poland,D
S-42 (Pulkovo 1942),Romania,D
S-JTSK,,D
SGS 1985,,D
Santo (DOS) 1965,,D
Sapper Hill 1943,,D
Schwarzeck,,D
Selvagem Grande 1938,,D
Sierra Leone 1960,,D
South American 1969,Argentina,D
South American 1969,Bolivia,D
South American 1969,Brazil,D
South American 1969,Chile,D
South American 1969,Colombia,D
South American 1969,Ecuador,D
South American 1969,Ecuador Baltra,D
South American 1969,Guyana,D
South American 1969,Mean,D
South American 1969,Paraguay,D
South American 1969,Peru,D
South American 1969,Trinidad and Tobago,D
South American 1969,Venezuala,D
South Asia,,D
Tananarive Observatory 1925,,D
Tokyo,Japan,D
Tokyo,Mean,D
Tokyo,Okinawa,D
Tokyo,South Korea,D
Tristan Astro 1968,,D
Viti Levu 1916,,D
Voirol 1874,,D
Voirol 1960,,D
WGS 1972,,D
WGS 1984,,DWGS84
Wake Island Astro 1952,,D
Wake-Eniwetok 1960,,D
Yacare,,D
Zanderij,,D
